title,box_off_num
한경직,240085.69953681235
미운오리새끼,270599.53791812004
황제펭귄 펭이와 솜이,216973.7007277819
두 개의 문,270317.49989663175
I AM,524280.77328305756
후궁 : 제왕의 첩,894503.492843848
"안녕, 하세요!",426804.4718797438
천국의 아이들,428432.53770356474
할머니는 일학년,172279.70854644748
두레소리,197809.5019168477
"봄, 눈",286635.6424069378
은교,839856.3995801646
간기남,1278387.072801185
시체가 돌아왔다,951978.5772388497
말하는 건축가,387552.48521307716
밀월도 가는 길,202500.66174717844
파파,710027.7542514474
점박이:한반도의 공룡3D,225677.82662603827
댄싱퀸,3352756.6893126033
누구의 딸도 아닌 해원,174369.04265833204
신세계,3670590.864075185
굿바이 홈런,216973.7007277819
불륜의 시대,192078.8105390138
남쪽으로 튀어,1325077.0760061305
좋은 친구들,1171317.818572271
지슬 - 끝나지 않은 세월 2,197809.5019168477
누구나 제 명에 죽고 싶다,150607.49100025505
사이코메트리,819550.903755087
환상속의 그대,556002.5196538261
몽타주,1440813.6750825176
"힘내세요, 병헌씨",277352.0878383105
꼭두각시,144834.02899220574
홀리,153164.87246610248
마이 라띠마,839856.3995801646
더 테러 라이브,681884.6295858634
슈퍼피쉬 - 끝없는 여정,166329.99641822738
콩가네,495052.5381342221
허풍,183835.81315644682
젊은 엄마,159884.76263701497
노라노,316152.0486040987
노브레싱,354583.21530610044
말하는 건축 시티:홀,427413.3209014712
댄서김의 은밀한 교수법,218369.15004032274
소원,607154.4624746265
고양이 소녀,162719.44126536883
롤플레이 2 : 동침,218369.15004032274
동창생,951643.3690412345
용의자,3850131.831898801
미녀전쟁,284512.9115404603
캐치미,764111.7552805176
그 강아지 그 고양이,155822.41102046485
화려한 외출,237830.95887541818
오하이오 삿포로,140823.1624580856
마이 리틀 히어로,3448527.8072900376
박수건달,3591790.4289718033
배꼽,534490.4616828671
나가요 미스콜,239998.63298959448
우아한 거짓말,1130524.1573110307
미스터 컴퍼니,167064.2967697899
우리별 일호와 얼룩소,213415.01564820664
찌라시: 위험한 소문,1549782.8659571686
조선미녀삼총사,761225.0931137663
만찬,1019397.3674037813
한 번도 안 해본 여자,219432.48687308963
살인자,189909.02420831088
  이것이 우리의 끝이다,389319.42533389776
그댄 나의 뱀파이어,171105.4886045879
황제를 위하여,618361.0878335902
레디액션! 폭력영화,258527.73254442267
스퀴시랜드,247692.58192624088
우는 남자,1774471.635824234
하이힐,3372906.7738537067
도희야,329055.14700112946
표적,1296993.0823063394
10분,182193.800553356
메이크 유어 무브,496483.074088639
카토 프로젝트,165062.82650621003
녀녀녀,272584.57698025985
방황하는 칼날,3009986.0149359335
바리새인,203076.352517824
욕망의 독: 중독,189023.94358454802
설계,257359.2051209428
레쓰링,255016.11042911693
원 컷 - 어느 친절한 살인자의 기록,215799.0309649277
픽업 아티스트,307503.6470492442
옹녀뎐,172367.46600769102
왓니껴,467607.2089975574
족구왕,354969.06689905486
내 연애의 기억,172147.44604557124
바세코의 아이들,174425.40713420644
명량,3761855.165627056
군도: 민란의 시대,3835655.467082134
산타바바라,204275.54208390153
나는 야한 여자가 좋다,164669.39392572932
숙희,161761.16556208438
더 테너 리리코 스핀토,475839.6208241096
기술자들,1734442.2231944813
신화 라이브 3D 더 레전드 컨티뉴스,249983.49233276158
악사들,243027.82518635812
울언니,274643.8646517744
정사: 위험한 성적유희,237830.95887541818
레디액션 청춘,3220879.560979484
"제자, 옥한흠",236217.74544588226
환상,163431.43204661884
위층여자,186730.15984027626
가자! 장미여관으로 3 - 방황,173467.1200147911
나는 야한 여자가 좋다 3,164669.39392572932
스물,1220370.7147419357
그라운드의 이방인,510320.9969765826
살인의뢰,1312470.7200490003
살인캠프,223771.29017648147
헬머니,1054271.9595251316
조류인간,262457.6082195878
최강전사 미니특공대 : 새로운 악당의 습격,211915.69405378547
생각보다 맑은,218369.15004032274
고양이 장례식,296357.1232124548
설해,631666.9224563632
나의 절친 악당들,974788.8570155101
연평해전,3341746.248508036
극비수사,800224.4557767108
성난 화가,197829.37401854573
은밀한 유혹,984401.9334307607
혜경궁 홍씨,839856.3995801646
무뢰한,1729093.3913271409
간신,3731947.8400544142
연애의 맛,937422.5282019194
잡식가족의 딜레마,206302.306156171
플랑크 상수,164468.9617448975
장수상회,1484447.1925412887
파울볼,217037.44248097678
춘희막이,207751.17336044312
덫: 치명적인 유혹,243744.27596667953
션샤인 러브,213415.01564820664
사도,2969319.1311037326
돼지 같은 여자,188458.9832045888
사랑이 이긴다,147940.58622813332
슈퍼레이서 엔지,1019397.3674037813
제 7기사단,232755.3687212062
고백,149764.42148251124
미쓰 와이프,3499523.271450027
위로공단,277352.0878383105
베테랑,3719144.4535567192
악인은 살아 있다,154847.93619179208
쓰리 썸머 나잇,904216.4776800774
마돈나,475839.6208241096
"나의 아들, 나의 어머니",292603.3875846567
슬픈남자,176623.13242261513
타이밍,222112.5803722251
타투,285981.4845103427
어떤이의 꿈,166951.3867634801
해에게서 소년에게,213310.01661465463
울보 권투부,238847.7376577019
어떤살인,477218.78833993553
말하지 못한 비밀,237972.67894752038
조선안방 스캔들-칠거지악 2,165244.45723687715
